run_id,check_name,failed_rows,total_rows,pct_failed,check_timestamp
1,missing_email,257,5000,0.0514,2026-01-09 14:28:29
2,missing_phone,468,5000,0.0936,2026-01-09 14:28:29
3,duplicate_email,43,5000,0.0086,2026-01-09 14:28:29
4,invalid_email_format,0,5000,0.0,2026-01-09 14:28:29
5,last_active_before_signup,0,5000,0.0,2026-01-09 14:28:29
6,missing_email,257,5000,0.0514,2026-01-09 14:31:45
7,missing_phone,468,5000,0.0936,2026-01-09 14:31:45
8,duplicate_email,43,5000,0.0086,2026-01-09 14:31:45
9,invalid_email_format,0,5000,0.0,2026-01-09 14:31:45
10,last_active_before_signup,0,5000,0.0,2026-01-09 14:31:45
